from_stop_id,to_stop_id,transfer_type,min_transfer_time
1166841,4036661,2,227
1166841,4036747,2,226
1166841,4036748,2,227
1166841,4036749,2,235
1166841,4036827,2,254
1166841,4045022,2,225
1166841,4459239,2,226
1166841,4459240,2,235
1166841,4473190,2,210
1166841,4473191,2,210
1166841,4473192,2,252
1166841,5018190,2,254
1166841,5018192,2,226
1166841,5657267,2,204
1166841,5657268,2,205
1166841,5657328,2,108
1166841,7176249,2,254
1166841,7176251,2,226
1629,4036663,2,281
1629,4459237,2,238
1630,1629,2,72
1630,2509,2,72
1630,3740310,2,241
1630,3740329,2,251
1630,3740330,2,238
1630,4009647,2,258
1630,4009648,2,281
1630,4036663,2,281
1630,4459237,2,238
1630,7275545,2,238
1630,7275551,2,281
1631,3926268,2,215
1631,3926269,2,215
1631,5922162,2,193
1631,5922163,2,255
1632,3887809,2,198
1632,4037035,2,198
1632,4473023,2,198
1632,7275660,2,198
1634,5018173,2,259
1634,5018174,2,216
1636,3682706,2,198
1636,3682707,2,198
1636,4208596,2,198
1636,4208597,2,198
1639,4036804,2,195
1639,4036805,2,189
1639,4378059,2,297
1639,4378060,2,273
1639,4378061,2,323
1641,3764975,2,282
1641,3926302,2,241
1641,3926303,2,231
1641,7153052,2,241
1641,7153053,2,231
1644,5582589,2,223
1644,5582590,2,235
1645,1763,2,90
1645,2409,2,90
1645,5138046,2,261
1645,5138190,2,261
1645,5138191,2,188
1646,3687419,2,238
1646,3887775,2,275
1646,3893424,2,272
1646,3893425,2,284
1646,3926194,2,238
1646,4036996,2,238
1646,5138043,2,190
1646,5138184,2,190
1646,5138185,2,199
1646,6591468,2,238
1648,1794,2,112
1648,2404,2,116
1648,3764527,2,243
1648,3764528,2,199
1648,3764540,2,216
1648,3765258,2,225
1648,3765306,2,225
1648,3893369,2,248
1648,3893370,2,217
1648,3893371,2,199
1648,3893445,2,248
1648,3893446,2,214
1648,3893447,2,217
1648,3893448,2,199
1648,3926308,2,243
1648,3926309,2,199
1648,3926337,2,216
1648,4036786,2,243
1648,4036787,2,230
1648,5454880,2,199
1648,5454881,2,216
1648,5454923,2,243
1648,5454924,2,199
1648,5454936,2,216
1649,4036777,2,219
1649,4036778,2,213
1650,3764624,2,248
1650,3764638,2,234
1650,3764668,2,248
1650,3764970,2,210
1650,3764991,2,197
1650,3893432,2,278
1650,3893434,2,210
1650,3893468,2,197
1650,4037255,2,210
1650,4045003,2,197
1650,4651127,2,234
1650,7275160,2,248
1650,7275208,2,226
1650,7275441,2,234
1650,7275458,2,248
1651,1832,2,136
1651,2371,2,166
1652,4614261,2,220
1652,4614262,2,207
1652,4614324,2,220
1653,1845,2,91
1653,2312,2,80
1653,3442422,2,227
1653,3442423,2,246
1653,3687424,2,187
1653,3687425,2,189
1653,3748044,2,186
1653,3748045,2,232
1653,3765206,2,232
1653,3765207,2,186
1653,3812926,2,227
1653,3813066,2,186
1653,3813067,2,232
1653,4037040,2,186
1653,6591519,2,186
1655,1883,2,180
1655,2279,2,187
1655,4211797,2,225
1655,4211798,2,245
1655,5018150,2,245
1655,5018151,2,225
1655,5770810,2,267
1655,5770811,2,250
1655,7275133,2,225
1655,7275134,2,245
1656,4016287,2,201
1656,4016288,2,216
1657,5121368,2,269
1657,6591481,2,269
1659,3673604,2,191
1659,3673605,2,243
1659,3673606,2,228
1659,3690050,2,207
1659,3690051,2,207
1659,3690081,2,228
1659,3765281,2,243
1659,3765282,2,243
1659,3765283,2,196
1659,4036628,2,218
1659,4036629,2,191
1659,4459270,2,201
1659,4459271,2,211
1659,5657302,2,196
1659,5657303,2,209
1659,6095573,2,201
1662,3749784,2,342
1662,3764551,2,316
1662,3807628,2,249
1662,4016274,2,316
1662,4016275,2,307
1662,4036653,2,342
1662,4036759,2,307
1662,4036760,2,342
1662,4459247,2,307
1662,4726926,2,249
1662,5454899,2,316
1662,5709986,2,342
1662,5709987,2,307
1662,5710044,2,342
1662,5710045,2,307
1662795,5121480,2,209
1662795,5121481,2,192
1662795,6449043,2,209
1662795,6449044,2,192
1662796,5121480,2,209
1662796,5121481,2,192
1662796,6449043,2,209
1662796,6449044,2,192
1662797,4023652,2,215
1662797,5121484,2,218
1662797,5121515,2,190
1662797,6448956,2,210
1662797,6448957,2,210
1662797,6448958,2,218
1662797,6449047,2,218
1662797,6449066,2,190
1662798,4023652,2,215
1662798,5121484,2,218
1662798,5121515,2,190
1662798,6448956,2,210
1662798,6448957,2,210
1662798,6448958,2,218
1662798,6449047,2,218
1662798,6449066,2,190
1663,3682070,2,260
1663,3682071,2,286
1663,3682090,2,286
1664,3682059,2,189
1664,5747142,2,297
1664,5747143,2,210
1665,3887783,2,270
1665,4037008,2,270
1665,4473031,2,270
1665,5121376,2,256
1665,6591480,2,256
1665,7275668,2,270
1666,1667,2,65
1666,2477,2,67
1666,3765210,2,218
1666,3812930,2,217
1666,3812963,2,207
1666,3813061,2,207
1666,3813108,2,218
1666,3893422,2,220
1666,3893423,2,194
1666,4009626,2,194
1666,4009666,2,226
1666,4726732,2,207
1666,5138042,2,226
1666,5138183,2,226
1666,5138220,2,194
1667,3813061,2,207
1667,3813108,2,218
1667,3893422,2,220
1667,3893423,2,194
1667,5138042,2,226
1667,5138183,2,226
1667,5138220,2,194
1668,4211795,2,206
1668,4211796,2,262
1668,7275131,2,206
1668,7275132,2,262
1669,3687097,2,227
1669,3687098,2,198
1669,3893414,2,279
1669,3893416,2,227
1669,3893417,2,196
1669,5138039,2,204
1669,5138178,2,204
1670,4035021,2,264
1670,4035022,2,264
1670,4473156,2,264
1670,4473157,2,264
1671,3730101,2,243
1671,3730102,2,188
1671,4035945,2,310
1671,4035997,2,234
1672,1729,2,330
1672,1977,2,300
1672,2167,2,300
1672,2472,2,180
1672,3687426,2,276
1672,3687471,2,235
1672,3716885,2,277
1672,3716886,2,240
1672,3716935,2,261
1672,3748046,2,153
1672,3764643,2,225
1672,3764843,2,276
1672,3765205,2,153
1672,3813068,2,153
1672,3893353,2,277
1672,3893394,2,276
1672,3893395,2,261
1672,4036770,2,231
1672,4036771,2,240
1672,4036988,2,261
1672,4037041,2,276
1672,4651132,2,225
1672,5018339,2,231
1672,5018340,2,240
1672,5018400,2,231
1672,5018401,2,240
1672,5709974,2,276
1672,5709975,2,215
1672,6251747,2,231
1672,6251748,2,240
1672,6591460,2,261
1672,6591520,2,225
1672,7170697,2,215
1672,7170698,2,215
1672,7170699,2,215
1672,7170700,2,215
1672,7275154,2,215
1672,7275155,2,276
1672,7275446,2,276
1672,7275447,2,215
1675,1674,2,111
1675,1676,2,110
1675,2484,2,120
1675,2486,2,104
1675,4035806,2,399
1675,4035807,2,387
1675,4035808,2,207
1675,4035809,2,196
1675,4035810,2,274
1676,1674,2,236
1676,2484,2,247
1676,4035806,2,279
1676,4035807,2,267
1676,4035808,2,207
1676,4035809,2,196
1676,4035810,2,278
1677,1678,2,105
1677,2488,2,63
1677,3764611,2,246
1677,3764648,2,270
1677,3764656,2,246
1677,4036981,2,246
1677,4037046,2,270
1677,4726957,2,281
1677,4726958,2,189
1677,7275146,2,246
1677,7275216,2,270
1680,3619312,2,270
1680,3619313,2,247
1681,3748053,2,192
1681,3748054,2,201
1681,3813075,2,192
1681,3813076,2,201
1681,5454890,2,198
1681,5454939,2,198
1681,6904253,2,198
1683,3926394,2,220
