trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
344,06:00:00,06:00:00,4981090360,1,,,,,
344,06:06:21,06:06:21,5116094292,2,,,,,
344,06:07:54,06:07:54,5116094291,3,,,,,
344,06:10:09,06:10:09,5116094290,4,,,,,
344,06:15:09,06:15:09,5116094289,5,,,,,
344,06:16:55,06:16:55,5116094288,6,,,,,
344,06:17:34,06:17:34,5036738904,7,,,,,
344,06:21:54,06:21:54,5036738903,8,,,,,
344,06:23:57,06:23:57,5034072897,9,,,,,
344,06:24:58,06:24:58,4982950476,10,,,,,
344,06:28:26,06:28:26,4982950475,11,,,,,
344,06:30:49,06:30:49,5036738902,12,,,,,
344,06:32:55,06:32:55,30778854,13,,,,,
344,06:36:01,06:36:01,5116094287,14,,,,,
344,06:37:54,06:37:54,5116094286,15,,,,,
344,06:38:57,06:38:57,5030747556,16,,,,,
344,06:40:08,06:40:08,5040133317,17,,,,,
344,06:41:38,06:41:38,5030747555,18,,,,,
344,06:41:50,06:41:50,5113829631,19,,,,,
344,06:43:18,06:43:18,5028942311,20,,,,,
344,06:44:21,06:44:21,5028942310,21,,,,,
344,06:46:27,06:46:27,5028942309,22,,,,,
344,06:53:51,06:53:51,5116094285,23,,,,,
344,06:58:00,06:58:00,5116094284,24,,,,,
0,06:00:00,06:00:00,4990252736,1,,,,,
0,06:06:34,06:06:34,4990252726,2,,,,,
0,06:07:09,06:07:09,4990252725,3,,,,,
0,06:07:35,06:07:35,4286137016,4,,,,,
0,06:11:10,06:11:10,5008338671,5,,,,,
0,06:17:22,06:17:22,5008589266,6,,,,,
0,06:21:48,06:21:48,5008589265,7,,,,,
0,06:23:16,06:23:16,5008589264,8,,,,,
0,06:25:21,06:25:21,5008589261,9,,,,,
0,06:26:53,06:26:53,5008589263,10,,,,,
0,06:29:00,06:29:00,5008589262,11,,,,,
346,06:00:00,06:00:00,4990644995,1,,,,,
346,06:02:06,06:02:06,4997071030,2,,,,,
346,06:02:15,06:02:15,5007828431,3,,,,,
346,06:03:04,06:03:04,4982950479,4,,,,,
346,06:03:36,06:03:36,2917277221,5,,,,,
346,06:07:05,06:07:05,4997071029,6,,,,,
346,06:07:47,06:07:47,3073421167,7,,,,,
346,06:10:05,06:10:05,4997071028,8,,,,,
346,06:10:52,06:10:52,4999589687,9,,,,,
346,06:23:14,06:23:14,5007828435,10,,,,,
346,06:26:46,06:26:46,4992783155,11,,,,,
346,06:33:18,06:33:18,5007828434,12,,,,,
346,06:33:58,06:33:58,4999589686,13,,,,,
346,06:41:09,06:41:09,4999589685,14,,,,,
346,06:41:24,06:41:24,5007828433,15,,,,,
346,06:41:44,06:41:44,5007828432,16,,,,,
346,06:42:00,06:42:00,4999589684,17,,,,,
347,06:00:00,06:00:00,4999589684,1,,,,,
347,06:01:29,06:01:29,5007960687,2,,,,,
347,06:29:43,06:29:43,4971250982,3,,,,,
347,06:32:55,06:32:55,4461423012,4,,,,,
347,06:38:36,06:38:36,2917277220,5,,,,,
347,06:39:05,06:39:05,4980841293,6,,,,,
347,06:40:09,06:40:09,4980841291,7,,,,,
347,06:41:24,06:41:24,4980841290,8,,,,,
347,06:41:50,06:41:50,4980841289,9,,,,,
347,06:42:10,06:42:10,4980841288,10,,,,,
347,06:42:41,06:42:41,4980841287,11,,,,,
347,06:43:00,06:43:00,4990644995,12,,,,,
340,06:00:00,06:00:00,4990162109,1,,,,,
340,06:00:47,06:00:47,4990163125,2,,,,,
340,06:01:56,06:01:56,5033271033,3,,,,,
340,06:03:35,06:03:35,5037808481,4,,,,,
340,06:10:38,06:10:38,5004961004,5,,,,,
340,06:11:51,06:11:51,5026460153,6,,,,,
340,06:13:33,06:13:33,5005030177,7,,,,,
340,06:16:59,06:16:59,5029644473,8,,,,,
340,06:19:16,06:19:16,5029644472,9,,,,,
340,06:21:00,06:21:00,5040165404,10,,,,,
341,06:00:00,06:00:00,5030980188,1,,,,,
341,06:01:51,06:01:51,5030249502,2,,,,,
341,06:04:20,06:04:20,5028942307,3,,,,,
341,06:05:21,06:05:21,5037792707,4,,,,,
341,06:07:05,06:07:05,4997374740,5,,,,,
341,06:11:42,06:11:42,4184924289,6,,,,,
341,06:15:23,06:15:23,4997374739,7,,,,,
341,06:18:00,06:18:00,4990162109,8,,,,,
342,06:00:00,06:00:00,4999589684,1,,,,,
342,06:03:05,06:03:05,5007960687,2,,,,,
342,07:01:57,07:01:57,4971250982,3,,,,,
342,07:03:35,07:03:35,4150793105,4,,,,,
342,07:07:25,07:07:25,5030747570,5,,,,,
342,07:08:50,07:08:50,5030747573,6,,,,,
342,07:15:03,07:15:03,5030747561,7,,,,,
342,07:15:55,07:15:55,5030747560,8,,,,,
342,07:16:29,07:16:29,5030747559,9,,,,,
342,07:17:19,07:17:19,5030747558,10,,,,,
342,07:17:54,07:17:54,5030747557,11,,,,,
342,07:18:35,07:18:35,5030747556,12,,,,,
342,07:19:31,07:19:31,5030747555,13,,,,,
342,07:20:16,07:20:16,5028942311,14,,,,,
342,07:20:45,07:20:45,5028942310,15,,,,,
342,07:21:42,07:21:42,5028942309,16,,,,,
342,07:25:46,07:25:46,5034539524,17,,,,,
342,07:27:00,07:27:00,5029644472,18,,,,,
343,06:00:00,06:00:00,5034486676,1,,,,,
343,06:08:53,06:08:53,4984741723,2,,,,,
343,06:10:41,06:10:41,4977925525,3,,,,,
343,06:12:07,06:12:07,3045917876,4,,,,,
343,06:32:42,06:32:42,5007828435,5,,,,,
343,06:38:34,06:38:34,4992783155,6,,,,,
343,06:49:27,06:49:27,5007828434,7,,,,,
343,06:50:34,06:50:34,4999589686,8,,,,,
343,07:02:39,07:02:39,4992783154,9,,,,,
343,07:03:34,07:03:34,4999589685,10,,,,,
343,07:03:59,07:03:59,5007828433,11,,,,,
343,07:04:32,07:04:32,5007828432,12,,,,,
343,07:04:46,07:04:46,5034486675,13,,,,,
343,07:05:00,07:05:00,4999589684,14,,,,,
348,06:00:00,06:00:00,4990644995,1,,,,,
348,06:00:52,06:00:52,5043483177,2,,,,,
348,06:01:12,06:01:12,5022383973,3,,,,,
348,06:01:46,06:01:46,5022383976,4,,,,,
348,06:02:54,06:02:54,4997071030,5,,,,,
348,06:03:07,06:03:07,5007828431,6,,,,,
348,06:04:14,06:04:14,4982950479,7,,,,,
348,06:04:59,06:04:59,2917277221,8,,,,,
348,06:06:17,06:06:17,4982950478,9,,,,,
348,06:09:47,06:09:47,4997071029,10,,,,,
348,06:10:45,06:10:45,3073421167,11,,,,,
348,06:13:54,06:13:54,4997071028,12,,,,,
348,06:15:00,06:15:00,4999589687,13,,,,,
348,06:16:48,06:16:48,5064890132,14,,,,,
348,06:24:56,06:24:56,5064890131,15,,,,,
348,06:29:51,06:29:51,5064890130,16,,,,,
348,06:32:04,06:32:04,5007828435,17,,,,,
348,06:36:56,06:36:56,4992783155,18,,,,,
348,06:45:57,06:45:57,5007828434,19,,,,,
348,06:46:52,06:46:52,4999589686,20,,,,,
348,06:47:51,06:47:51,5064890129,21,,,,,
348,06:53:01,06:53:01,1200964747,22,,,,,
348,06:56:48,06:56:48,4999589685,23,,,,,
348,06:57:09,06:57:09,5007828433,24,,,,,
348,06:57:37,06:57:37,5007828432,25,,,,,
348,06:57:48,06:57:48,5034486675,26,,,,,
348,06:58:00,06:58:00,4999589684,27,,,,,
349,06:00:00,06:00:00,4999589684,1,,,,,
349,06:01:49,06:01:49,5007960687,2,,,,,
349,06:06:09,06:06:09,5064916996,3,,,,,
349,06:11:45,06:11:45,5064916995,4,,,,,
349,06:13:02,06:13:02,5064916994,5,,,,,
349,06:17:50,06:17:50,5064916993,6,,,,,
349,06:20:32,06:20:32,5064916992,7,,,,,
349,06:26:11,06:26:11,5037031763,8,,,,,
349,06:30:03,06:30:03,5064916991,9,,,,,
349,06:32:16,06:32:16,5064916990,10,,,,,
349,06:34:43,06:34:43,5064916989,11,,,,,
349,06:36:38,06:36:38,4971250982,12,,,,,
349,06:37:38,06:37:38,5064916988,13,,,,,
349,06:40:35,06:40:35,4461423012,14,,,,,
349,06:45:09,06:45:09,5008553424,15,,,,,
349,06:47:35,06:47:35,2917277220,16,,,,,
349,06:48:11,06:48:11,4980841293,17,,,,,
349,06:49:29,06:49:29,4980841291,18,,,,,
349,06:51:02,06:51:02,4980841290,19,,,,,
349,06:51:34,06:51:34,4980841289,20,,,,,
349,06:51:59,06:51:59,4980841288,21,,,,,
349,06:52:37,06:52:37,4980841287,22,,,,,
349,06:53:00,06:53:00,4990644995,23,,,,,
298,06:00:00,06:00:00,5039908071,1,,,,,
