origin,zone_58,zone_44,zone_47,zone_43,zone_6,zone_80,zone_92,zone_97,zone_29,zone_83,zone_61,zone_67,zone_32,zone_42,zone_19,zone_71,zone_48,zone_68,zone_9,zone_2,zone_8,zone_36,zone_1,zone_53,zone_89,zone_18,zone_81,zone_95,zone_28,zone_96,zone_34,zone_75,zone_27,zone_12,zone_70,zone_39,zone_65,zone_51,zone_62,zone_82,zone_22,zone_15,zone_57,zone_84,zone_94,zone_4,zone_69,zone_87,zone_41,zone_63,zone_91,zone_46,zone_98,zone_59,zone_5,zone_40,zone_77,zone_11,zone_31,zone_60,zone_85
zone_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1287.0,1589.0,,,,,,,,,,,,,
zone_34,,,,,,,,,,,,,,,695.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_97,,,,,,,,,,,,517.0,,,,,,,,,,,,,1885.0,,,,,,,,,,,,,,,,,,,1719.0,,,,,,,,,,,,,,,,,
zone_55,,,,,,,,,,,,,,,,,,,,,,,,,,1781.0,,,,,,,,,,,,,,,,,,,,,,,1384.0,,,,,,,,,,,,
zone_88,,,,,,2184.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_4,,,,,,,,,,,,,,,,912.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1557.0,,,,,,,,,,,,,,,,,,,,,,,
zone_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2206.0,1871.0,,,,,,,,,,
zone_68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1617.0,,,,,,,,,,,,,,,
zone_62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1462.0,1255.0,,,,,,,,
zone_92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,837.0,,,,,,,
zone_73,,,,1132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1768.0,,,,,,
zone_80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,818.0,959.0,,,,,,,,,,,,,
zone_43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1921.0,,,,,
zone_10,,,,,,,,,,,,,1796.0,,,,,,,,,,,,,,,,,,,,239.0,,,,,,,,,,,,,,,,,,,,,,2529.0,,,,,,
zone_7,,,,,,,,,,1138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1196.0,,,,
zone_46,,,,,,,,,,,,,,,,,,,,,,,333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999.0,,,,,,,,,,,,,,,
zone_78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1087.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_53,,,,,,,,,2166.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1527.0,,,,,,,,,,,,,,,,,,,,,721.0,,,
zone_76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1045.0,,
zone_57,,,,,,,970.0,,,,,,1312.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1143.0,581.0
zone_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1681.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
