route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1319357,100,"207","(NOISY-LE-GRAND - MONT D'EST RER <-> (NOISY-LE-GRAND RER - HOPITAL)) - Retour",,3,,FFFFFF,000000
1319358,100,"207","(NOISY-LE-GRAND - MONT D'EST RER <-> HOPITAL DE LA QUEUE-EN-BRIE) - Aller",,3,,FFFFFF,000000
1323394,100,"111","(TERROIRS DE FRANCE <-> LA VARENNE - CHENNEVIERES RER) - Aller",,3,,FFFFFF,000000
1368356,100,"182","(MAIRIE D'IVRY-METRO <-> PONT DE CHOISY) - Aller",,3,,FFFFFF,000000
1369327,100,"CHOISYBUS","CHOISYB (SERV URBAIN DE CHOISY LE ROI <-> CIRCULAIRE) - Aller",,3,,FFFFFF,000000
1382497,100,"14","(SAINT-LAZARE <-> OLYMPIADES) - Aller",,1,,FFFFFF,000000
1382498,100,"14","(SAINT-LAZARE <-> OLYMPIADES) - Retour",,1,,FFFFFF,000000
1383095,100,"70","(HOTEL DE VILLE DE PARIS <-> HOTEL DE VILLE - RADIO FRANCE) - Retour",,3,,FFFFFF,000000
1383272,100,"255","((PORTE DE CLIGNANCOURT) <-> LES PREVOYANTS) - Aller",,3,,FFFFFF,000000
1383273,100,"255","((PORTE DE CLIGNANCOURT) <-> MAIRIE DE STAINS) - Aller",,3,,FFFFFF,000000
1404803,100,"146","(CHANZY <-> (LE BOURGET RER - MONTFERMEIL)) - Retour",,3,,FFFFFF,000000
1407232,100,"485","((ATHIS-MONS NOYER RENARD) <-> DELALANDE PASTEUR) - Aller",,3,,FFFFFF,000000
1407233,100,"485","(LES OISEAUX <-> (ATHIS-MONS NOYER RENARD)) - Retour",,3,,FFFFFF,000000
1414429,100,"TUC","(VAN GOGH <-> CAILLOUX) - Retour",,3,,FFFFFF,000000
1419803,100,"9","(PONT DE SEVRES <-> MAIRIE DE MONTREUIL) - Aller",,1,,FFFFFF,000000
